sample_id,reference,hypothesis,reference_norm,hypothesis_norm,wer,category
fleurs-1882,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır, Elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toquşduqu üçün yer planetinin necə yarandığını başa düşməyə çalışır.,elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toqquşduğu üçün yer planetinin necə yarandığını başa düşməyə çalışır, elm adamları planetlərin xüsusilə də quyruqlu ulduzlar uzun zaman əvvəl yer planeti ilə toquşduqu üçün yer planetinin necə yarandığını başa düşməyə çalışır ,0.0455,
fleurs-1960,onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi," Onu 20 yaşlarında olduğu bildərilir. Biber asıqlamasında bu faziyəvi qəzanın birbaşa iştirakçısı olmasamda, düşüncülərim və dualarım hadisə qurbanının ailəsinin yanındadır, dedi.",onun 20 yaşlarında olduğu bildirilir biber açıqlamasında bu faciəvi qəzanın birbaşa iştirakçısı olmasam da düşüncələrim və dualarım hadisə qurbanının ailəsinin yanındadır dedi, onu 20 yaşlarında olduğu bildərilir biber asıqlamasında bu faziyəvi qəzanın birbaşa iştirakçısı olmasamda düşüncülərim və dualarım hadisə qurbanının ailəsinin yanındadır dedi ,0.3182,
fleurs-1998,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər, Pulcuq kimi dərisi və dirnaqlar onla ayıqlara sahib bu quşlar yumurta qoyabilir və tiranazavr rekslər kimi iki arxayaqların üstündə qəzə bilirlər.,pulcuq kimi dərisi və dırnaqları olan ayaqlara sahib bu quşlar yumurta qoya bilir və tirannozavr rekslər kimi iki arxa ayaqlarının üstündə gəzə bilirlər, pulcuq kimi dərisi və dirnaqlar onla ayıqlara sahib bu quşlar yumurta qoyabilir və tiranazavr rekslər kimi iki arxayaqların üstündə qəzə bilirlər ,0.3913,
fleurs-1932,şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi...sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir-birlərinin üstündən keçərək qaçmağa başladılar," Show başladığından sadece 5 dəqə sonra külə esməyə başladı. 1 dəqə keçməmiş küləyin sürəti artıq saatda 70 km idi. Sonra yağış gəldi, amma yağış damcılar o qədər sət və böyük idi ki, dəriyə iğnə kimi batırdı. Sonrası göydən dolu yağdı. İnsanlar təşvişlə və bağıraraq birbirlənin üstündən keçirək qasmağa başladılar.",şou başladıqdan sadəcə 5 dəqiqə sonra külək əsməyə başladı bir dəqiqə keçməmiş küləyin sürəti artıq saatda 70 km idi sonra yağış gəldi amma yağış damcıları o qədər sərt və böyük idi ki dəriyə iynə kimi batırdı sonrası göydən dolu yağdı insanlar təşvişlə və bağıraraq bir birlərinin üstündən keçərək qaçmağa başladılar, show başladığından sadece 5 dəqə sonra külə esməyə başladı 1 dəqə keçməmiş küləyin sürəti artıq saatda 70 km idi sonra yağış gəldi amma yağış damcılar o qədər sət və böyük idi ki dəriyə iğnə kimi batırdı sonrası göydən dolu yağdı i nsanlar təşvişlə və bağıraraq birbirlənin üstündən keçirək qasmağa başladılar ,0.34,
fleurs-1700,maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür," Maria adlanan qaranlıq qatların altında daha nazik, dağlıq yerlərin altında isə daha qalan görünür.",maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalın görünür, maria adlanan qaranlıq qatların altında daha nazik dağlıq yerlərin altında isə daha qalan görünür ,0.0714,
fleurs-1670,abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir," Abusun Geoloji Xidmətlər Bürosunun, Astrologiya həyətindən və Arizona şıdatının Fluxdav şəhərində yerləşən şimali Arizona ümumiyyətindən olan Glencushingin dəliyənə görə onların thermal hərəkətləri, eğer planetindəki kifaya qədər davamlı temperaturu təsiz dəstəkləyin böyük mağaralarda olanlar qədər stabilləyin. Oncaq bu həmin dərin dəriklərin torbaqda olması ilə alaqəlidir.",abş ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir, abusun geoloji xidmətlər bürosunun astrologiya həyətindən və arizona şıdatının fluxdav şəhərində yerləşən şimali arizona ümumiyyətindən olan glencushingin dəliyənə görə onların thermal hərəkətləri eğer planetindəki kifaya qədər davamlı temperaturu təsiz dəstəkləyin böyük mağaralarda olanlar qədər stabilləyin oncaq bu həmin dərin dəriklərin torbaqda olması ilə alaqəlidir ,0.4375,
fleurs-1715,katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i̇span i̇ngilis fransız ərəb və yapon dillərində verir," Katalob dili metrada müntezam olaraq verilən elanların nəsəslidir. Lakin automatalaşdırılmış sistem panalaşdırılmalıq problemlər barədə elanlar fərqli dillərdə, o cübdədən İspan, İngiliz, Fransız, Ərəb və Yapon dillərində verilir.",katalon dili metroda müntəzəm olaraq verilən elanların əsas dilidir lakin avtomatlaşdırılmış sistem planlaşdırılmamış problemlər barədə elanları fərqli dillərdə o cümlədən i span i ngilis fransız ərəb və yapon dillərində verir, katalob dili metrada müntezam olaraq verilən elanların nəsəslidir lakin automatalaşdırılmış sistem panalaşdırılmalıq problemlər barədə elanlar fərqli dillərdə o cübdədən i span i ngiliz fransız ərəb və yapon dillərində verilir ,0.3667,
fleurs-1800,körpünün istifadəyə verilişi 2017-ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır," Körbünün istifadəyi verilişi 2017-ci ilin Səndiyabrayna, yəni Brasi ilə gömdük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır.",körpünün istifadəyə verilişi 2017 ci ilin sentyabr ayına yəni braziliya gömrük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır, körbünün istifadəyi verilişi 2017 ci ilin səndiyabrayna yəni brasi ilə gömdük nəzarəti məntəqələrinin işlərini bitirəcəyi vaxta planlaşdırılır ,0.4118,
fleurs-1922,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər, Erbəhtə bu ənənənin xristiyan dini baxımından izahı var. Amma bu xristiyanlıqdan əvvəli olan baharın gərişi və məhsul dağılığı səvəbilə də keçirilə bilər.,əlbəttə bu ənənənin xristian dini baxımından izahı var amma bu xristianlıqdan əvvəl olan baharın gəlişi və məhsuldarlıq səbəbilə də keçirilə bilər, erbəhtə bu ənənənin xristiyan dini baxımından izahı var amma bu xristiyanlıqdan əvvəli olan baharın gərişi və məhsul dağılığı səvəbilə də keçirilə bilər ,0.381,
fleurs-1817,yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir," Yəni də, şəngin zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir.",yenə də şengen zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir, yəni də şəngin zonası bu baxımdan bir qədər tək dövlət funksiyasına malikdir ,0.1667,
